seq,event_ts,ingest_ts,facility_id,txn_type,sku,qty,shipment_ref,dock_door
13,2026-01-05T04:00:00.000Z,2026-01-05T04:05:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
14,2026-01-05T04:00:00.000Z,2026-01-05T04:02:00.000Z,DC_DAL,pick,SKU_COLA,65,,
15,2026-01-05T04:00:00.000Z,2026-01-05T04:07:00.000Z,DC_DAL,pick,SKU_BAR,29,,
13,2026-01-05T04:00:00.000Z,2026-01-05T04:02:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
14,2026-01-05T04:00:00.000Z,2026-01-05T04:05:00.000Z,DC_HOU,pick,SKU_COLA,60,,
15,2026-01-05T04:00:00.000Z,2026-01-05T04:03:00.000Z,DC_HOU,pick,SKU_BAR,27,,
13,2026-01-05T04:00:00.000Z,2026-01-05T04:06:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
14,2026-01-05T04:00:00.000Z,2026-01-05T04:00:00.000Z,DC_SAT,pick,SKU_COLA,45,,
15,2026-01-05T04:00:00.000Z,2026-01-05T04:00:00.000Z,DC_SAT,pick,SKU_BAR,20,,
13,2026-01-05T04:00:00.000Z,2026-01-05T04:04:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
14,2026-01-05T04:00:00.000Z,2026-01-05T04:01:00.000Z,DC_OKC,pick,SKU_COLA,35,,
15,2026-01-05T04:00:00.000Z,2026-01-05T04:07:00.000Z,DC_OKC,pick,SKU_BAR,16,,
16,2026-01-05T05:00:00.000Z,2026-01-05T05:04:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
17,2026-01-05T05:00:00.000Z,2026-01-05T05:00:00.000Z,DC_DAL,pick,SKU_COLA,65,,
18,2026-01-05T05:00:00.000Z,2026-01-05T05:04:00.000Z,DC_DAL,pick,SKU_BAR,29,,
16,2026-01-05T05:00:00.000Z,2026-01-05T05:05:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
17,2026-01-05T05:00:00.000Z,2026-01-05T05:08:00.000Z,DC_HOU,pick,SKU_COLA,60,,
18,2026-01-05T05:00:00.000Z,2026-01-05T05:05:00.000Z,DC_HOU,pick,SKU_BAR,27,,
16,2026-01-05T05:00:00.000Z,2026-01-05T05:08:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
17,2026-01-05T05:00:00.000Z,2026-01-05T05:06:00.000Z,DC_SAT,pick,SKU_COLA,45,,
18,2026-01-05T05:00:00.000Z,2026-01-05T05:01:00.000Z,DC_SAT,pick,SKU_BAR,20,,
16,2026-01-05T05:00:00.000Z,2026-01-05T05:07:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
17,2026-01-05T05:00:00.000Z,2026-01-05T05:03:00.000Z,DC_OKC,pick,SKU_COLA,35,,
18,2026-01-05T05:00:00.000Z,2026-01-05T05:03:00.000Z,DC_OKC,pick,SKU_BAR,16,,
19,2026-01-05T05:00:00.000Z,2026-01-05T05:07:00.000Z,DC_DAL,ship_confirm,SKU_CHIP,273,SHIP-0,
20,2026-01-05T05:00:00.000Z,2026-01-05T05:06:00.000Z,DC_DAL,ship_confirm,SKU_COLA,390,SHIP-1,
21,2026-01-05T05:00:00.000Z,2026-01-05T05:04:00.000Z,DC_DAL,ship_confirm,SKU_BAR,176,SHIP-2,
19,2026-01-05T05:00:00.000Z,2026-01-05T05:04:00.000Z,DC_HOU,ship_confirm,SKU_CHIP,252,SHIP-3,
20,2026-01-05T05:00:00.000Z,2026-01-05T05:05:00.000Z,DC_HOU,ship_confirm,SKU_COLA,360,SHIP-4,
21,2026-01-05T05:00:00.000Z,2026-01-05T05:06:00.000Z,DC_HOU,ship_confirm,SKU_BAR,162,SHIP-5,
19,2026-01-05T05:00:00.000Z,2026-01-05T05:04:00.000Z,DC_SAT,ship_confirm,SKU_CHIP,189,SHIP-6,
20,2026-01-05T05:00:00.000Z,2026-01-05T05:07:00.000Z,DC_SAT,ship_confirm,SKU_COLA,270,SHIP-7,
21,2026-01-05T05:00:00.000Z,2026-01-05T05:00:00.000Z,DC_SAT,ship_confirm,SKU_BAR,122,SHIP-8,
19,2026-01-05T05:00:00.000Z,2026-01-05T05:07:00.000Z,DC_OKC,ship_confirm,SKU_CHIP,147,SHIP-9,
20,2026-01-05T05:00:00.000Z,2026-01-05T05:01:00.000Z,DC_OKC,ship_confirm,SKU_COLA,210,SHIP-10,
21,2026-01-05T05:00:00.000Z,2026-01-05T05:02:00.000Z,DC_OKC,ship_confirm,SKU_BAR,95,SHIP-11,
22,2026-01-05T06:00:00.000Z,2026-01-05T06:06:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
23,2026-01-05T06:00:00.000Z,2026-01-05T06:05:00.000Z,DC_DAL,pick,SKU_COLA,65,,
24,2026-01-05T06:00:00.000Z,2026-01-05T06:00:00.000Z,DC_DAL,pick,SKU_BAR,29,,
22,2026-01-05T06:00:00.000Z,2026-01-05T06:06:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
23,2026-01-05T06:00:00.000Z,2026-01-05T06:05:00.000Z,DC_HOU,pick,SKU_COLA,60,,
24,2026-01-05T06:00:00.000Z,2026-01-05T06:07:00.000Z,DC_HOU,pick,SKU_BAR,27,,
22,2026-01-05T06:00:00.000Z,2026-01-05T06:05:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
23,2026-01-05T06:00:00.000Z,2026-01-05T06:02:00.000Z,DC_SAT,pick,SKU_COLA,45,,
24,2026-01-05T06:00:00.000Z,2026-01-05T06:08:00.000Z,DC_SAT,pick,SKU_BAR,20,,
22,2026-01-05T06:00:00.000Z,2026-01-05T06:00:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
23,2026-01-05T06:00:00.000Z,2026-01-05T06:06:00.000Z,DC_OKC,pick,SKU_COLA,35,,
24,2026-01-05T06:00:00.000Z,2026-01-05T06:04:00.000Z,DC_OKC,pick,SKU_BAR,16,,
25,2026-01-05T07:00:00.000Z,2026-01-05T07:07:00.000Z,DC_DAL,pick,SKU_CHIP,57,,
26,2026-01-05T07:00:00.000Z,2026-01-05T07:05:00.000Z,DC_DAL,pick,SKU_COLA,82,,
27,2026-01-05T07:00:00.000Z,2026-01-05T07:07:00.000Z,DC_DAL,pick,SKU_BAR,37,,
25,2026-01-05T07:00:00.000Z,2026-01-05T07:02:00.000Z,DC_HOU,pick,SKU_CHIP,53,,
26,2026-01-05T07:00:00.000Z,2026-01-05T07:07:00.000Z,DC_HOU,pick,SKU_COLA,76,,
27,2026-01-05T07:00:00.000Z,2026-01-05T07:00:00.000Z,DC_HOU,pick,SKU_BAR,34,,
25,2026-01-05T07:00:00.000Z,2026-01-05T07:00:00.000Z,DC_SAT,pick,SKU_CHIP,40,,
26,2026-01-05T07:00:00.000Z,2026-01-05T07:07:00.000Z,DC_SAT,pick,SKU_COLA,57,,
27,2026-01-05T07:00:00.000Z,2026-01-05T07:01:00.000Z,DC_SAT,pick,SKU_BAR,25,,
25,2026-01-05T07:00:00.000Z,2026-01-05T07:05:00.000Z,DC_OKC,pick,SKU_CHIP,31,,
26,2026-01-05T07:00:00.000Z,2026-01-05T07:05:00.000Z,DC_OKC,pick,SKU_COLA,44,,
27,2026-01-05T07:00:00.000Z,2026-01-05T07:08:00.000Z,DC_OKC,pick,SKU_BAR,20,,
28,2026-01-05T08:00:00.000Z,2026-01-05T08:00:00.000Z,DC_DAL,pick,SKU_CHIP,68,,
29,2026-01-05T08:00:00.000Z,2026-01-05T08:07:00.000Z,DC_DAL,pick,SKU_COLA,97,,
30,2026-01-05T08:00:00.000Z,2026-01-05T08:05:00.000Z,DC_DAL,pick,SKU_BAR,44,,
28,2026-01-05T08:00:00.000Z,2026-01-05T08:05:00.000Z,DC_HOU,pick,SKU_CHIP,63,,
29,2026-01-05T08:00:00.000Z,2026-01-05T08:00:00.000Z,DC_HOU,pick,SKU_COLA,90,,
30,2026-01-05T08:00:00.000Z,2026-01-05T08:08:00.000Z,DC_HOU,pick,SKU_BAR,40,,
28,2026-01-05T08:00:00.000Z,2026-01-05T08:01:00.000Z,DC_SAT,pick,SKU_CHIP,47,,
29,2026-01-05T08:00:00.000Z,2026-01-05T08:04:00.000Z,DC_SAT,pick,SKU_COLA,68,,
30,2026-01-05T08:00:00.000Z,2026-01-05T08:00:00.000Z,DC_SAT,pick,SKU_BAR,30,,
28,2026-01-05T08:00:00.000Z,2026-01-05T08:02:00.000Z,DC_OKC,pick,SKU_CHIP,37,,
29,2026-01-05T08:00:00.000Z,2026-01-05T08:08:00.000Z,DC_OKC,pick,SKU_COLA,53,,
30,2026-01-05T08:00:00.000Z,2026-01-05T08:00:00.000Z,DC_OKC,pick,SKU_BAR,24,,
31,2026-01-05T09:00:00.000Z,2026-01-05T09:08:00.000Z,DC_DAL,pick,SKU_CHIP,78,,
32,2026-01-05T09:00:00.000Z,2026-01-05T09:06:00.000Z,DC_DAL,pick,SKU_COLA,111,,
33,2026-01-05T09:00:00.000Z,2026-01-05T09:05:00.000Z,DC_DAL,pick,SKU_BAR,50,,
31,2026-01-05T09:00:00.000Z,2026-01-05T09:08:00.000Z,DC_HOU,pick,SKU_CHIP,72,,
32,2026-01-05T09:00:00.000Z,2026-01-05T09:02:00.000Z,DC_HOU,pick,SKU_COLA,102,,
33,2026-01-05T09:00:00.000Z,2026-01-05T09:01:00.000Z,DC_HOU,pick,SKU_BAR,46,,
31,2026-01-05T09:00:00.000Z,2026-01-05T09:03:00.000Z,DC_SAT,pick,SKU_CHIP,54,,
32,2026-01-05T09:00:00.000Z,2026-01-05T09:02:00.000Z,DC_SAT,pick,SKU_COLA,77,,
33,2026-01-05T09:00:00.000Z,2026-01-05T09:08:00.000Z,DC_SAT,pick,SKU_BAR,35,,
31,2026-01-05T09:00:00.000Z,2026-01-05T09:01:00.000Z,DC_OKC,pick,SKU_CHIP,42,,
32,2026-01-05T09:00:00.000Z,2026-01-05T09:08:00.000Z,DC_OKC,pick,SKU_COLA,60,,
33,2026-01-05T09:00:00.000Z,2026-01-05T09:05:00.000Z,DC_OKC,pick,SKU_BAR,27,,
34,2026-01-05T10:00:00.000Z,2026-01-05T10:03:00.000Z,DC_DAL,pick,SKU_CHIP,85,,
35,2026-01-05T10:00:00.000Z,2026-01-05T10:07:00.000Z,DC_DAL,pick,SKU_COLA,121,,
36,2026-01-05T10:00:00.000Z,2026-01-05T10:04:00.000Z,DC_DAL,pick,SKU_BAR,55,,
34,2026-01-05T10:00:00.000Z,2026-01-05T10:00:00.000Z,DC_HOU,pick,SKU_CHIP,78,,
35,2026-01-05T10:00:00.000Z,2026-01-05T10:06:00.000Z,DC_HOU,pick,SKU_COLA,112,,
36,2026-01-05T10:00:00.000Z,2026-01-05T10:08:00.000Z,DC_HOU,pick,SKU_BAR,50,,
34,2026-01-05T10:00:00.000Z,2026-01-05T10:08:00.000Z,DC_SAT,pick,SKU_CHIP,59,,
35,2026-01-05T10:00:00.000Z,2026-01-05T10:07:00.000Z,DC_SAT,pick,SKU_COLA,84,,
36,2026-01-05T10:00:00.000Z,2026-01-05T10:07:00.000Z,DC_SAT,pick,SKU_BAR,38,,
34,2026-01-05T10:00:00.000Z,2026-01-05T10:03:00.000Z,DC_OKC,pick,SKU_CHIP,46,,
35,2026-01-05T10:00:00.000Z,2026-01-05T10:01:00.000Z,DC_OKC,pick,SKU_COLA,65,,
36,2026-01-05T10:00:00.000Z,2026-01-05T10:07:00.000Z,DC_OKC,pick,SKU_BAR,29,,
37,2026-01-05T11:00:00.000Z,2026-01-05T11:03:00.000Z,DC_DAL,pick,SKU_CHIP,89,,
38,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_DAL,pick,SKU_COLA,128,,
39,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_DAL,pick,SKU_BAR,58,,
37,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_HOU,pick,SKU_CHIP,83,,
38,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_HOU,pick,SKU_COLA,118,,
39,2026-01-05T11:00:00.000Z,2026-01-05T11:00:00.000Z,DC_HOU,pick,SKU_BAR,53,,
37,2026-01-05T11:00:00.000Z,2026-01-05T11:01:00.000Z,DC_SAT,pick,SKU_CHIP,62,,
38,2026-01-05T11:00:00.000Z,2026-01-05T11:07:00.000Z,DC_SAT,pick,SKU_COLA,88,,
39,2026-01-05T11:00:00.000Z,2026-01-05T11:07:00.000Z,DC_SAT,pick,SKU_BAR,40,,
37,2026-01-05T11:00:00.000Z,2026-01-05T11:04:00.000Z,DC_OKC,pick,SKU_CHIP,48,,
38,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_OKC,pick,SKU_COLA,69,,
39,2026-01-05T11:00:00.000Z,2026-01-05T11:06:00.000Z,DC_OKC,pick,SKU_BAR,31,,
40,2026-01-05T11:00:00.000Z,2026-01-05T11:00:00.000Z,DC_DAL,ship_confirm,SKU_CHIP,423,SHIP-12,
41,2026-01-05T11:00:00.000Z,2026-01-05T11:01:00.000Z,DC_DAL,ship_confirm,SKU_COLA,604,SHIP-13,
42,2026-01-05T11:00:00.000Z,2026-01-05T11:07:00.000Z,DC_DAL,ship_confirm,SKU_BAR,272,SHIP-14,
40,2026-01-05T11:00:00.000Z,2026-01-05T11:06:00.000Z,DC_HOU,ship_confirm,SKU_CHIP,391,SHIP-15,
41,2026-01-05T11:00:00.000Z,2026-01-05T11:00:00.000Z,DC_HOU,ship_confirm,SKU_COLA,558,SHIP-16,
42,2026-01-05T11:00:00.000Z,2026-01-05T11:01:00.000Z,DC_HOU,ship_confirm,SKU_BAR,251,SHIP-17,
40,2026-01-05T11:00:00.000Z,2026-01-05T11:05:00.000Z,DC_SAT,ship_confirm,SKU_CHIP,293,SHIP-18,
41,2026-01-05T11:00:00.000Z,2026-01-05T11:02:00.000Z,DC_SAT,ship_confirm,SKU_COLA,418,SHIP-19,
42,2026-01-05T11:00:00.000Z,2026-01-05T11:05:00.000Z,DC_SAT,ship_confirm,SKU_BAR,188,SHIP-20,
40,2026-01-05T11:00:00.000Z,2026-01-05T11:05:00.000Z,DC_OKC,ship_confirm,SKU_CHIP,228,SHIP-21,
41,2026-01-05T11:00:00.000Z,2026-01-05T11:03:00.000Z,DC_OKC,ship_confirm,SKU_COLA,325,SHIP-22,
42,2026-01-05T11:00:00.000Z,2026-01-05T11:03:00.000Z,DC_OKC,ship_confirm,SKU_BAR,146,SHIP-23,
43,2026-01-05T12:00:00.000Z,2026-01-05T12:02:00.000Z,DC_DAL,pick,SKU_CHIP,91,,
44,2026-01-05T12:00:00.000Z,2026-01-05T12:07:00.000Z,DC_DAL,pick,SKU_COLA,130,,
45,2026-01-05T12:00:00.000Z,2026-01-05T12:01:00.000Z,DC_DAL,pick,SKU_BAR,59,,
43,2026-01-05T12:00:00.000Z,2026-01-05T12:00:00.000Z,DC_HOU,pick,SKU_CHIP,84,,
44,2026-01-05T12:00:00.000Z,2026-01-05T12:01:00.000Z,DC_HOU,pick,SKU_COLA,120,,
45,2026-01-05T12:00:00.000Z,2026-01-05T12:08:00.000Z,DC_HOU,pick,SKU_BAR,54,,
43,2026-01-05T12:00:00.000Z,2026-01-05T12:04:00.000Z,DC_SAT,pick,SKU_CHIP,63,,
44,2026-01-05T12:00:00.000Z,2026-01-05T12:00:00.000Z,DC_SAT,pick,SKU_COLA,90,,
45,2026-01-05T12:00:00.000Z,2026-01-05T12:01:00.000Z,DC_SAT,pick,SKU_BAR,41,,
43,2026-01-05T12:00:00.000Z,2026-01-05T12:04:00.000Z,DC_OKC,pick,SKU_CHIP,49,,
44,2026-01-05T12:00:00.000Z,2026-01-05T12:08:00.000Z,DC_OKC,pick,SKU_COLA,70,,
45,2026-01-05T12:00:00.000Z,2026-01-05T12:07:00.000Z,DC_OKC,pick,SKU_BAR,32,,
46,2026-01-05T13:00:00.000Z,2026-01-05T13:06:00.000Z,DC_DAL,pick,SKU_CHIP,89,,
47,2026-01-05T13:00:00.000Z,2026-01-05T13:04:00.000Z,DC_DAL,pick,SKU_COLA,128,,
48,2026-01-05T13:00:00.000Z,2026-01-05T13:00:00.000Z,DC_DAL,pick,SKU_BAR,58,,
46,2026-01-05T13:00:00.000Z,2026-01-05T13:08:00.000Z,DC_HOU,pick,SKU_CHIP,83,,
47,2026-01-05T13:00:00.000Z,2026-01-05T13:05:00.000Z,DC_HOU,pick,SKU_COLA,118,,
48,2026-01-05T13:00:00.000Z,2026-01-05T13:07:00.000Z,DC_HOU,pick,SKU_BAR,53,,
46,2026-01-05T13:00:00.000Z,2026-01-05T13:01:00.000Z,DC_SAT,pick,SKU_CHIP,62,,
47,2026-01-05T13:00:00.000Z,2026-01-05T13:03:00.000Z,DC_SAT,pick,SKU_COLA,88,,
48,2026-01-05T13:00:00.000Z,2026-01-05T13:03:00.000Z,DC_SAT,pick,SKU_BAR,40,,
46,2026-01-05T13:00:00.000Z,2026-01-05T13:03:00.000Z,DC_OKC,pick,SKU_CHIP,48,,
47,2026-01-05T13:00:00.000Z,2026-01-05T13:03:00.000Z,DC_OKC,pick,SKU_COLA,69,,
48,2026-01-05T13:00:00.000Z,2026-01-05T13:07:00.000Z,DC_OKC,pick,SKU_BAR,31,,
49,2026-01-05T14:00:00.000Z,2026-01-05T14:05:00.000Z,DC_DAL,pick,SKU_CHIP,85,,
50,2026-01-05T14:00:00.000Z,2026-01-05T14:08:00.000Z,DC_DAL,pick,SKU_COLA,121,,
51,2026-01-05T14:00:00.000Z,2026-01-05T14:01:00.000Z,DC_DAL,pick,SKU_BAR,55,,
49,2026-01-05T14:00:00.000Z,2026-01-05T14:01:00.000Z,DC_HOU,pick,SKU_CHIP,78,,
50,2026-01-05T14:00:00.000Z,2026-01-05T14:04:00.000Z,DC_HOU,pick,SKU_COLA,112,,
51,2026-01-05T14:00:00.000Z,2026-01-05T14:07:00.000Z,DC_HOU,pick,SKU_BAR,50,,
49,2026-01-05T14:00:00.000Z,2026-01-05T14:00:00.000Z,DC_SAT,pick,SKU_CHIP,59,,
50,2026-01-05T14:00:00.000Z,2026-01-05T14:00:00.000Z,DC_SAT,pick,SKU_COLA,84,,
51,2026-01-05T14:00:00.000Z,2026-01-05T14:08:00.000Z,DC_SAT,pick,SKU_BAR,38,,
49,2026-01-05T14:00:00.000Z,2026-01-05T14:02:00.000Z,DC_OKC,pick,SKU_CHIP,46,,
50,2026-01-05T14:00:00.000Z,2026-01-05T14:02:00.000Z,DC_OKC,pick,SKU_COLA,65,,
51,2026-01-05T14:00:00.000Z,2026-01-05T14:08:00.000Z,DC_OKC,pick,SKU_BAR,29,,
52,2026-01-05T15:00:00.000Z,2026-01-05T15:00:00.000Z,DC_DAL,pick,SKU_CHIP,78,,
53,2026-01-05T15:00:00.000Z,2026-01-05T15:06:00.000Z,DC_DAL,pick,SKU_COLA,111,,
54,2026-01-05T15:00:00.000Z,2026-01-05T15:01:00.000Z,DC_DAL,pick,SKU_BAR,50,,
52,2026-01-05T15:00:00.000Z,2026-01-05T15:02:00.000Z,DC_HOU,pick,SKU_CHIP,72,,
53,2026-01-05T15:00:00.000Z,2026-01-05T15:07:00.000Z,DC_HOU,pick,SKU_COLA,102,,
54,2026-01-05T15:00:00.000Z,2026-01-05T15:02:00.000Z,DC_HOU,pick,SKU_BAR,46,,
52,2026-01-05T15:00:00.000Z,2026-01-05T15:03:00.000Z,DC_SAT,pick,SKU_CHIP,54,,
53,2026-01-05T15:00:00.000Z,2026-01-05T15:08:00.000Z,DC_SAT,pick,SKU_COLA,77,,
54,2026-01-05T15:00:00.000Z,2026-01-05T15:04:00.000Z,DC_SAT,pick,SKU_BAR,35,,
52,2026-01-05T15:00:00.000Z,2026-01-05T15:05:00.000Z,DC_OKC,pick,SKU_CHIP,42,,
53,2026-01-05T15:00:00.000Z,2026-01-05T15:08:00.000Z,DC_OKC,pick,SKU_COLA,60,,
54,2026-01-05T15:00:00.000Z,2026-01-05T15:03:00.000Z,DC_OKC,pick,SKU_BAR,27,,
55,2026-01-05T16:00:00.000Z,2026-01-05T16:02:00.000Z,DC_DAL,pick,SKU_CHIP,68,,
56,2026-01-05T16:00:00.000Z,2026-01-05T16:08:00.000Z,DC_DAL,pick,SKU_COLA,97,,
57,2026-01-05T16:00:00.000Z,2026-01-05T16:08:00.000Z,DC_DAL,pick,SKU_BAR,44,,
55,2026-01-05T16:00:00.000Z,2026-01-05T16:00:00.000Z,DC_HOU,pick,SKU_CHIP,63,,
56,2026-01-05T16:00:00.000Z,2026-01-05T16:05:00.000Z,DC_HOU,pick,SKU_COLA,90,,
57,2026-01-05T16:00:00.000Z,2026-01-05T16:05:00.000Z,DC_HOU,pick,SKU_BAR,40,,
55,2026-01-05T16:00:00.000Z,2026-01-05T16:05:00.000Z,DC_SAT,pick,SKU_CHIP,47,,
56,2026-01-05T16:00:00.000Z,2026-01-05T16:05:00.000Z,DC_SAT,pick,SKU_COLA,68,,
57,2026-01-05T16:00:00.000Z,2026-01-05T16:04:00.000Z,DC_SAT,pick,SKU_BAR,30,,
55,2026-01-05T16:00:00.000Z,2026-01-05T16:05:00.000Z,DC_OKC,pick,SKU_CHIP,37,,
56,2026-01-05T16:00:00.000Z,2026-01-05T16:07:00.000Z,DC_OKC,pick,SKU_COLA,53,,
57,2026-01-05T16:00:00.000Z,2026-01-05T16:01:00.000Z,DC_OKC,pick,SKU_BAR,24,,
58,2026-01-05T17:00:00.000Z,2026-01-05T17:01:00.000Z,DC_DAL,pick,SKU_CHIP,57,,
59,2026-01-05T17:00:00.000Z,2026-01-05T17:06:00.000Z,DC_DAL,pick,SKU_COLA,82,,
60,2026-01-05T17:00:00.000Z,2026-01-05T17:07:00.000Z,DC_DAL,pick,SKU_BAR,37,,
58,2026-01-05T17:00:00.000Z,2026-01-05T17:01:00.000Z,DC_HOU,pick,SKU_CHIP,53,,
59,2026-01-05T17:00:00.000Z,2026-01-05T17:06:00.000Z,DC_HOU,pick,SKU_COLA,76,,
60,2026-01-05T17:00:00.000Z,2026-01-05T17:01:00.000Z,DC_HOU,pick,SKU_BAR,34,,
